"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 02 16:55:53 MSK 2020","Mon Nov 02 16:56:13 MSK 2020","20448","","Cypress Tests","","","","None-existent login test",""
"passed","Mon Nov 02 16:56:13 MSK 2020","Mon Nov 02 16:56:19 MSK 2020","5281","","Cypress Tests","","","","None-existent password test",""
